Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddBackward0,1.9039146664325828,85190.66174952593,85190.66174952593,44745.0
AddmmBackward,689.4849825690017,16237371.33949999,478303.78799965524,23550.0
LogSoftmaxBackward,70.39976369413361,55263.814499894885,9136.005999746758,785.0
MmBackward,1834.8982267515648,1440395.1079999784,13855.636749955098,785.0
MulBackward0,62.78606801585193,4238687.451750165,687416.2099996534,67510.0
NllLossBackward,75.05891751610626,58921.25025014341,20231.55800017321,785.0
ReluBackward0,22.661700637013098,17789.435000055284,5890.954749924509,785.0
SelectBackward,297.341748089181,233413.27225000708,25059.827499932886,785.0
SigmoidBackward,30.042890191849843,1981028.1792505793,427406.69525046565,65940.0
SliceBackward,253.98906289804225,398762.8287499263,173687.69275010584,1570.0
SplitBackward,79.79142318013852,1753815.481499445,188302.78749929694,21980.0
StackBackward,98.30410573250096,77168.72300001324,4777.700750082793,785.0
TBackward,9.886941144437808,240598.71274989404,83541.47399957315,24335.0
TanhBackward,109.59615724523033,4817847.072500326,279528.14925105136,43960.0
TransposeBackward0,12.298109235758034,9654.015750070055,3117.024499915551,785.0
UnbindBackward,2253.131315923629,1768708.0830000483,7565.424500143083,785.0
UnsafeViewBackward,16.114734713357606,12650.066749985723,4444.201500034847,785.0
_local_scalar_dense,1.9328455129377837,193303.87974890776,193303.87974890776,100010.0
_log_softmax,72.84307101919138,57181.81075006524,57181.81075006524,785.0
_log_softmax_backward_data,58.76153949063454,46127.80850014812,46127.80850014812,785.0
_unsafe_view,19.712664968333435,15474.442000141746,15474.442000141746,785.0
add,32.36089657053677,2743556.8112501074,2743556.8112501074,84780.0
add_,35.98892922754294,2288068.153499497,2288068.153499497,63577.0
addcdiv_,19.430052866190543,122020.73199967663,122020.73199967663,6280.0
addcmul_,15.912714769120537,99931.84875007696,99931.84875007696,6280.0
addmm,364.7847013694379,8590679.717250261,8590679.717250261,23550.0
bernoulli_,95.59231082802329,150079.92799999658,150079.92799999658,1570.0
cat,71.2244173794426,1565512.694000148,1565512.694000148,21980.0
chunk,23.155691913079565,508962.10824948887,76840.32974958583,21980.0
contiguous,389.34950764331165,305639.3634999997,297221.63099997345,785.0
cudnn_is_acceptable,2.219903821612694,1742.6244999659648,1742.6244999659648,785.0
detach,1.4438124999996944,11.550499999997557,11.550499999997557,8.0
detach_,1.369499114356576,9664.555250014357,9664.555250014357,7057.0
div,18.93248135821168,2012144.118750737,2012144.118750737,106280.0
div_,110.49325902330548,260211.6249998844,260211.6249998844,2355.0
dropout,188.57774713376867,296067.06300001673,21253.157000094416,1570.0
empty,4.550091628392231,931449.2572481735,931449.2572481735,204710.0
empty_like,12.124682059413475,28553.626249918732,13255.693999793992,2355.0
is_complex,0.8253500001475259,4.12675000073763,4.12675000073763,5.0
is_floating_point,1.8881499996185322,18.881499996185322,18.881499996185322,10.0
item,3.894816608335838,389520.6089996672,196216.72925075947,100010.0
linear,490.79113337360945,11172860.15125022,134562.04799943266,22765.0
log_softmax,79.80630318468702,62647.947999979326,5466.137249914082,785.0
lstm,35406.99741528666,27794492.971000023,739032.2565016602,785.0
matmul,2587.6979248408907,2031342.8710000995,20259.387499919845,785.0
mm,381.56342105044195,18271164.417000417,18271164.417000417,47885.0
mul,31.113516882725033,6228148.241999485,6228148.241999485,200175.0
mul_,21.88787187499723,274911.6707499652,274911.6707499652,12560.0
narrow,18.53201596338237,232762.1205000825,54791.8739999884,12560.0
nll_loss,36.612725477675745,28740.98949997546,5900.078500010368,785.0
nll_loss_backward,49.28623216556713,38689.692249970205,38689.692249970205,785.0
nll_loss_forward,29.096701910783555,22840.91099996509,22840.91099996509,785.0
random_,21.855099999558924,109.27549999779464,109.27549999779464,5.0
relu,28.857030573265448,22652.769000013377,22652.769000013377,785.0
reshape,16.527258280178696,25947.79549988055,7058.161249838286,1570.0
select,5.457921570667846,1100153.2509995177,1100153.2509995177,201570.0
set_,5.01228685498441,501228.685498441,501228.685498441,100000.0
sigmoid_,61.54109574234195,4058019.8532500286,4058019.8532500286,65940.0
sigmoid_backward,23.56113867152128,1553621.4840001133,1553621.4840001133,65940.0
slice,13.09580100320952,205604.07575038943,205604.07575038943,15700.0
split,19.65977154230678,432121.778499903,432121.778499903,21980.0
sqrt,53.555663694244245,336329.56799985387,336329.56799985387,6280.0
stack,703.2983166878598,2760445.8929998493,2760445.8929998493,3925.0
sum,75.2220347955685,1830528.2167501594,1830528.2167501594,24335.0
tanh,160.59273159690704,3529828.240500017,3529828.240500017,21980.0
tanh_,124.11023426978619,2727942.9492499004,2727942.9492499004,21980.0
tanh_backward,103.23746413214907,4538318.923249274,4538318.923249274,43960.0
threshold_backward,15.157299681695257,11898.480250130775,11898.480250130775,785.0
to,16.27725646425619,1640503.2927500603,1187451.8255013651,100785.0
torch::autograd::AccumulateGrad,20.13496867040897,126447.60325016832,36772.504500361945,6280.0
torch::autograd::GraphRoot,3.0245334393124086,2374.2587498602406,2374.2587498602406,785.0
transpose,5.282963602335568,1069034.0997506136,1069034.0997506136,202355.0
unbind,50.87690350321161,159753.47700008444,159753.47700008444,3140.0
unsigned short,8.456533004460265,1015671.8965006999,1015671.8965006999,120105.0
view,9.803233086167626,1365100.207248842,1365100.207248842,139250.0
zero_,61.74844241915618,532703.8127500603,532703.8127500603,8627.0
zeros,174.94849256892232,412003.69999981206,13185.394749908373,2355.0
